"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
CN,CHINA,7861,2490869,93284,23670886
DE,GERMANY,0,0,379352,25613595
IL,ISRAEL,0,0,48180,3873788
JP,JAPAN,14674,1455317,235245,27519543
KR,"KOREA,REPUBLIC OF",36000,1790591,90010,4483257
MY,MALAYSIA,24000,1030774,1092500,51528320
NL,NETHERLANDS,0,0,110350,7095458
QA,QATAR,0,0,306000,13294042
SA,SAUDI ARABIA,0,0,304450,12479415
SG,SINGAPORE,0,0,182750,7973803
ES,SPAIN,3,11945,3,11945
TW,"TAIWAN, PROVINCE OF CHINA",0,0,332000,10058211
US,UNITED STATES,99000,4486426,388744,20030294
VN,VIETNAM,0,0,550,35853
SUM,SUM,181538,11265922,3563418,207668410
