"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
AU,AUSTRALIA,12312,979985,24183,2008150
BE,BELGIUM,74850,4040178,223350,12949105
CN,CHINA,843733,47881254,1442534,89530905
FI,FINLAND,0,0,28875,2019002
FR,FRANCE,49500,3002388,119250,6443652
DE,GERMANY,1104,143177,10229,2877987
IN,INDIA,0,0,475,57257
ID,INDONESIA,19268,2583467,35518,4422087
IT,ITALY,27150,1604765,113462,8685983
JP,JAPAN,1071862,73480253,2674795,183477475
KP,KOREA DPR,35000,1732977,78200,4231464
KR,"KOREA,REPUBLIC OF",1258327,68828311,2887048,167762088
KW,KUWAIT,24750,1122962,24750,1122962
MY,MALAYSIA,56023,8854142,169243,20653246
MA,MOROCCO,0,0,130,70395
NL,NETHERLANDS,10100,1100428,109400,6511828
PH,PHILIPPINES,0,0,5,1191
SA,SAUDI ARABIA,3513360,127039649,6089560,234929987
SG,SINGAPORE,1519174,75544085,3224020,174987577
SK,SLOVAKIA,0,0,5250,365550
ES,SPAIN,0,0,49500,2223686
CH,SWITZERLAND,2,740,2,740
TW,"TAIWAN, PROVINCE OF CHINA",330770,11301725,400640,15914424
TH,THAILAND,0,0,45380,1529118
AE,UNITED ARAB EMIRATES,222750,7595295,422825,15300519
US,UNITED STATES,412128,20808408,959331,48839816
VN,VIETNAM,4283,771696,16628,1863226
SUM,SUM,9486446,458415885,19154583,1008779420
