"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
AU,AUSTRALIA,60000,3444040,460423,27605901
AT,AUSTRIA,241,53589,999,1075079
BE,BELGIUM,41180,8475118,83180,17409105
CA,CANADA,604,152461,37974,6185403
CN,CHINA,134968,7631933,1375678,82448152
CZ,CZECH REPUBLIC,0,0,17,10782
EC,ECUADOR,0,0,2,2012
FR,FRANCE,0,0,207707,18194878
DE,GERMANY,8440,2188957,99081,22261891
HK,HONG KONG,0,0,61,42968
IN,INDIA,19500,1779665,38253,3372917
ID,INDONESIA,0,0,66051,6729134
IE,IRELAND,0,0,100,39664
IL,ISRAEL,0,0,9800,1016401
IT,ITALY,0,0,16722,3527405
JP,JAPAN,142042,29743681,1081169,252297387
KR,"KOREA,REPUBLIC OF",369169,25962304,2139028,154468082
MY,MALAYSIA,105086,9805084,1092792,98068503
NL,NETHERLANDS,90640,10066898,1102660,125807389
SA,SAUDI ARABIA,792000,40277985,2709500,138356803
SG,SINGAPORE,82532,7515463,767332,91851476
ES,SPAIN,74250,6084420,266000,22236301
CH,SWITZERLAND,0,0,1000,923349
TW,"TAIWAN, PROVINCE OF CHINA",38882,2934421,727297,53044863
TH,THAILAND,35400,2123863,35675,2125437
TR,TÜRKIYE,0,0,250,108745
AE,UNITED ARAB EMIRATES,99000,5004525,127250,6564571
GB,UNITED KINGDOM,500,54541,1052,184564
US,UNITED STATES,56857,5361060,510801,61357357
VN,VIETNAM,5000,1189656,23005,5249321
SUM,SUM,2156291,169849664,12980859,1202565840
