"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'CIF (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'CIF (Baht)')"
AU,AUSTRALIA,407007,17007192,1406507,58348021
AT,AUSTRIA,1020,393258,5617,1643323
BE,BELGIUM,1325,112342,203125,10790380
CA,CANADA,0,0,1313,510363
CN,CHINA,1479886,74021851,19501660,980992555
CZ,CZECH REPUBLIC,32,10598,2732,667139
EG,EGYPT,0,0,100,46906
FR,FRANCE,0,0,3110,252176
DE,GERMANY,625,58542,51544,10586906
HK,HONG KONG,0,0,1779,530631
IN,INDIA,45000,983933,581578,15195993
ID,INDONESIA,34100,2867502,368587,35599317
IL,ISRAEL,0,0,5000,394933
IT,ITALY,8250,713526,63100,3836573
JP,JAPAN,985271,67813418,9416691,679985406
KR,"KOREA,REPUBLIC OF",1388190,74678311,20016216,979392922
MY,MALAYSIA,54466,7307672,673158,64110264
NL,NETHERLANDS,0,0,1141175,102217494
NZ,NEW ZEALAND,0,0,2640,2722024
OM,OMAN,0,0,5900,255266
PH,PHILIPPINES,0,0,304000,12428224
RU,RUSSIAN FEDERATION,0,0,150,29266
SA,SAUDI ARABIA,2242260,93953029,28375216,1165428619
SG,SINGAPORE,682128,41607432,10581532,573844242
SK,SLOVAKIA,100,30936,19500,1306677
ZA,SOUTH AFRICA,0,0,74250,2856615
ES,SPAIN,11000,934076,107250,8329187
TW,"TAIWAN, PROVINCE OF CHINA",191915,9300998,2285634,108099362
TH,THAILAND,0,0,190682,10226058
AE,UNITED ARAB EMIRATES,148500,6159185,992975,40652529
GB,UNITED KINGDOM,0,0,1700,144192
US,UNITED STATES,26725,4754222,246617,22087534
VN,VIETNAM,2024,278240,38731,5361513
SUM,SUM,7709824,402986263,96669769,4898872610
