"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1375,36280
BE,BELGIUM,44001,4025242,110001,9927928
BR,BRAZIL,450,152524,450,152524
KH,CAMBODIA,0,0,5,1814
CN,CHINA,24202,1319091,75402,6564210
FI,FINLAND,123750,6313676,198000,10120877
FR,FRANCE,0,2136,0,2136
DE,GERMANY,254185,18978739,476621,34846646
HK,HONG KONG,100,23302,100,23302
IN,INDIA,7,1617,32,7024
ID,INDONESIA,13000,2204099,13000,2204099
JP,JAPAN,270753,21475019,685480,46699467
KR,"KOREA,REPUBLIC OF",361510,20048310,534531,29958562
KW,KUWAIT,297000,11487366,915750,37823504
MY,MALAYSIA,3177300,130740869,6476208,274992336
NL,NETHERLANDS,176130,10624390,377290,21985947
NZ,NEW ZEALAND,1,6929,1,6929
PL,POLAND,3,2382,8003,1324547
QA,QATAR,612000,24325432,1741500,71100004
SA,SAUDI ARABIA,2505600,99941665,5209300,210783221
SG,SINGAPORE,1798630,81345089,4401630,201002166
ES,SPAIN,1500,62844,1500,62844
TW,"TAIWAN, PROVINCE OF CHINA",0,0,750,153898
AE,UNITED ARAB EMIRATES,148500,5842866,259000,10893828
GB,UNITED KINGDOM,2000,435386,2000,435386
US,UNITED STATES,14127,1438859,197713,16776888
VN,VIETNAM,2800,400528,6000,884136
SUM,SUM,9827549,441198360,21691642,988770503
