"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
CN,CHINA,17000,1318481,186324,15944287
HK,HONG KONG,20955,2271645,20955,2271645
IT,ITALY,1375,536159,80325,14584621
JP,JAPAN,300,58726,307,85798
KR,"KOREA,REPUBLIC OF",62900,3662443,943097,65621887
MY,MALAYSIA,5000,465015,66615,5854670
SG,SINGAPORE,0,0,800,119953
AE,UNITED ARAB EMIRATES,26000,1255901,26000,1255901
GB,UNITED KINGDOM,0,0,21225,2653048
US,UNITED STATES,0,0,44455,5736574
VN,VIETNAM,9400,865144,13000,1850380
SUM,SUM,142930,10433514,1403103,115978764
