"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
AU,AUSTRALIA,3172,186296,3172,186296
BD,BANGLADESH,25,4087,45,9117
BE,BELGIUM,174000,11281859,954752,62842040
BR,BRAZIL,0,0,1100,196568
CA,CANADA,0,0,25000,1925143
CN,CHINA,59503,3905128,432969,27225762
FR,FRANCE,0,0,11000,579968
DE,GERMANY,1251,140010,1306,164161
HK,HONG KONG,635,40862,635,40862
ID,INDONESIA,0,0,3840,201085
IT,ITALY,11310,1373129,43075,5627420
JP,JAPAN,228900,13569946,1376407,88267956
KE,KENYA,0,0,16000,846402
KR,"KOREA,REPUBLIC OF",129308,6656330,1132806,58676380
MY,MALAYSIA,126010,4154020,692011,32310330
MX,MEXICO,0,0,8761,1716912
SA,SAUDI ARABIA,297000,13499944,1435500,64638381
SG,SINGAPORE,4600,331971,9050,997936
CH,SWITZERLAND,0,0,20000,2567320
TW,"TAIWAN, PROVINCE OF CHINA",63850,3093656,514407,34670058
GB,UNITED KINGDOM,0,0,415,262049
US,UNITED STATES,238648,13238022,859343,51650281
VN,VIETNAM,128930,1576302,417950,5794084
SUM,SUM,1467142,73051562,7959544,441396511
