"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2346699
CN,CHINA,20200,1631990,83083,6170994
FR,FRANCE,0,0,2200,416650
IN,INDIA,500,109911,500,109911
IT,ITALY,0,0,125925,25613770
JP,JAPAN,30200,3297451,137176,13409659
KR,"KOREA,REPUBLIC OF",21600,1592042,132200,9916689
SG,SINGAPORE,0,0,41000,2981693
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,6900
AE,UNITED ARAB EMIRATES,0,0,50700,2494462
US,UNITED STATES,93798,6357581,373593,28909606
SUM,SUM,166298,12988975,970477,92377033
