"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
BE,BELGIUM,12000,1254451,156000,16587772
CN,CHINA,0,0,1975,166823
DE,GERMANY,0,0,1000,298092
JP,JAPAN,0,0,99334,6488062
KR,"KOREA,REPUBLIC OF",0,0,73500,5532453
LA,LAO PDR,0,0,11,9800
MY,MALAYSIA,24750,791574,24750,791574
SA,SAUDI ARABIA,0,0,550,21560
SG,SINGAPORE,0,0,3792000,136347621
TW,"TAIWAN, PROVINCE OF CHINA",0,0,22060,1030909
AE,UNITED ARAB EMIRATES,24700,827593,788150,31208740
GB,UNITED KINGDOM,0,0,3475,442385
US,UNITED STATES,11793,682527,1438780,94932330
SUM,SUM,73243,3556145,6401585,293858121
