"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
CA,CANADA,0,0,20,13309
CN,CHINA,0,0,14210,1156764
FR,FRANCE,20562,1255562,53312,3897165
DE,GERMANY,5,3770,1582,290340
JP,JAPAN,181930,9365115,381846,21459755
KR,"KOREA,REPUBLIC OF",425080,22743829,1319550,67270288
RU,RUSSIAN FEDERATION,0,0,6750,1621696
SG,SINGAPORE,1,387,1,387
US,UNITED STATES,0,0,329,156503
SUM,SUM,627578,33368663,1777600,95866207
