"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'CIF (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,125200
BE,BELGIUM,0,0,30875,2705186
CN,CHINA,0,0,256000,16339977
FI,FINLAND,0,0,25,2845
IT,ITALY,0,0,22275,3880460
JP,JAPAN,0,0,5006,1439531
KR,"KOREA,REPUBLIC OF",108620,7458292,1074384,72511919
MY,MALAYSIA,10000,651400,218200,12578025
NZ,NEW ZEALAND,0,0,1871,1021525
SA,SAUDI ARABIA,0,0,22000,1035847
SG,SINGAPORE,0,0,50,8607
ES,SPAIN,0,0,10800,2795155
SE,SWEDEN,40000,3139018,90000,6948702
AE,UNITED ARAB EMIRATES,0,0,908500,45357510
US,UNITED STATES,0,0,1000070,66454837
VN,VIETNAM,0,0,13600,799721
SUM,SUM,158620,11248710,3654056,234005047
