"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
BE,BELGIUM,960280,54334690,1775300,101075517
BR,BRAZIL,309375,30321896,753500,69483827
CN,CHINA,45050,2956557,213800,13884965
FR,FRANCE,24750,1883387,49500,3766217
DE,GERMANY,11463,2739417,41275,8725692
IN,INDIA,895,163617,945,165367
ID,INDONESIA,249000,9672728,249000,9672868
IT,ITALY,13500,1927972,221640,18194303
JP,JAPAN,712297,50934593,1414000,101872746
KR,"KOREA,REPUBLIC OF",1658250,64422344,3530000,135051247
KW,KUWAIT,74250,2429710,321750,10987869
MY,MALAYSIA,826500,28180061,2318250,79120260
MX,MEXICO,0,0,167,374868
NL,NETHERLANDS,10,8930,10,8930
OM,OMAN,495000,15396342,1089000,34660860
PT,PORTUGAL,0,0,50,2259
QA,QATAR,1147500,40078679,2091000,75749158
SA,SAUDI ARABIA,1441250,54383512,2897750,109431406
SG,SINGAPORE,1044780,38385287,1769790,66543006
ES,SPAIN,0,0,30,18723
TW,"TAIWAN, PROVINCE OF CHINA",82000,3891237,274000,13330865
AE,UNITED ARAB EMIRATES,321750,11343494,742500,26724503
GB,UNITED KINGDOM,0,0,1,3148
US,UNITED STATES,350887,13648864,1873568,82943709
SUM,SUM,9768787,427103317,21626826,961792313
