"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
CA,CANADA,0,0,10000,1456900
CN,CHINA,7060,1596208,34541,7393113
FR,FRANCE,0,0,2,1175
DE,GERMANY,0,0,28,2099
JP,JAPAN,2000,427712,9302,1727565
MY,MALAYSIA,0,0,0,57
NL,NETHERLANDS,0,0,25,13671
SG,SINGAPORE,2,445,9,1518
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121,11577
GB,UNITED KINGDOM,92,44726,648,331702
US,UNITED STATES,499,211495,45315,1853088
VN,VIETNAM,0,0,6,869
SUM,SUM,9653,2280586,99997,12793334
