"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
BE,BELGIUM,0,0,3,1354
CN,CHINA,22,8487,25522,1900501
FR,FRANCE,0,0,510,178632
DE,GERMANY,700,159035,700,159035
IN,INDIA,39240,1875783,87740,4691568
IT,ITALY,0,0,500,130369
JP,JAPAN,87260,6510261,89908,6891826
KR,"KOREA,REPUBLIC OF",258450,15850996,345950,22184085
AE,UNITED ARAB EMIRATES,8,4219,8,4219
US,UNITED STATES,0,0,4003,815398
SUM,SUM,385680,24408781,554844,36956987
