"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2319853
CN,CHINA,75650,5293534,253825,18084266
DE,GERMANY,0,0,500,155829
IN,INDIA,0,0,2000,421795
IT,ITALY,0,0,141625,28774090
JP,JAPAN,8500,1150522,188700,20755151
KR,"KOREA,REPUBLIC OF",21600,1376196,122400,8926800
MY,MALAYSIA,0,0,2000,166132
SA,SAUDI ARABIA,24750,1028518,24750,1028518
SG,SINGAPORE,725,41572,137225,6834198
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5000,741014
TH,THAILAND,1,4247,1,4247
AE,UNITED ARAB EMIRATES,62400,2834849,88500,4046466
GB,UNITED KINGDOM,0,0,2000,356094
US,UNITED STATES,8000,509702,183664,16584712
VN,VIETNAM,0,0,16500,960665
SUM,SUM,201626,12239140,1192690,110159830
