"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AU,AUSTRALIA,400,68605,400,68605
AT,AUSTRIA,0,0,555,779839
BE,BELGIUM,31520,3341569,46780,4989586
CN,CHINA,207393,12344958,686093,61303146
CZ,CZECH REPUBLIC,0,0,0,458
FR,FRANCE,0,0,136,74659
DE,GERMANY,1760,490744,85370,11250654
HK,HONG KONG,0,0,216,247571
IN,INDIA,0,0,328,118607
ID,INDONESIA,57500,4192618,114575,8799713
IT,ITALY,1000,128183,4350,376011
JP,JAPAN,144553,25451488,1023694,191465869
KR,"KOREA,REPUBLIC OF",151431,8966126,1011380,63275483
KW,KUWAIT,0,0,99000,4263230
MY,MALAYSIA,63050,8156771,338890,43513880
NL,NETHERLANDS,103650,10205243,582000,57968997
NO,NORWAY,0,0,28,16424
SA,SAUDI ARABIA,247500,11142765,1237500,53351511
SG,SINGAPORE,83400,8737500,572180,58091244
ES,SPAIN,0,0,371250,16337197
CH,SWITZERLAND,1300,758408,1800,1049883
TW,"TAIWAN, PROVINCE OF CHINA",53800,4269369,118412,9914096
TH,THAILAND,1500,318980,3850,784739
AE,UNITED ARAB EMIRATES,0,0,222750,9551720
GB,UNITED KINGDOM,40000,3983352,121000,12626650
US,UNITED STATES,68579,7710068,409134,60638699
VN,VIETNAM,45000,3835134,163660,13887333
SUM,SUM,1303336,114101881,7215331,684745804
