"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
BE,BELGIUM,24750,1183376,173531,8886182
CA,CANADA,0,0,4,2489
CN,CHINA,4000,196725,86903,9663805
DE,GERMANY,0,0,5,3938
JP,JAPAN,10000,565400,70126,5736627
KR,"KOREA,REPUBLIC OF",0,0,289017,14095355
MY,MALAYSIA,50,55206,275,314309
NL,NETHERLANDS,0,0,123750,10377778
PT,PORTUGAL,0,0,360,34367
SA,SAUDI ARABIA,21600,924433,949500,42644474
SG,SINGAPORE,0,0,470350,22709772
CH,SWITZERLAND,0,0,3,2797
TW,"TAIWAN, PROVINCE OF CHINA",0,0,57000,7181108
TH,THAILAND,0,0,578,175700
GB,UNITED KINGDOM,0,0,3,3734
US,UNITED STATES,685,192960,3236,1402524
SUM,SUM,61085,3118100,2224641,123234959
