"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2346699
CN,CHINA,10000,736260,62883,4539004
FR,FRANCE,2200,416650,2200,416650
IT,ITALY,41250,7875289,125925,25613770
JP,JAPAN,0,0,106976,10112208
KR,"KOREA,REPUBLIC OF",0,0,110600,8324647
SG,SINGAPORE,0,0,41000,2981693
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,6900
AE,UNITED ARAB EMIRATES,0,0,50700,2494462
US,UNITED STATES,69476,6713642,279795,22552025
SUM,SUM,122926,15741841,804179,79388058
