"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
BE,BELGIUM,97625,5095499,97625,5095499
CA,CANADA,121600,4680834,121600,4680834
CN,CHINA,761475,40794368,761475,40794368
FI,FINLAND,99000,6114779,99000,6114779
DE,GERMANY,42960,4070347,42960,4070347
HK,HONG KONG,144000,14323452,144000,14323452
ID,INDONESIA,73597,3348959,73597,3348959
JP,JAPAN,580602,48701900,580602,48701900
KR,"KOREA,REPUBLIC OF",300250,15247675,300250,15247675
KW,KUWAIT,693000,26178412,693000,26178412
MY,MALAYSIA,3799334,175992201,3799334,175992201
NO,NORWAY,49500,2800662,49500,2800662
QA,QATAR,204000,9390654,204000,9390654
SA,SAUDI ARABIA,1697850,70013315,1697850,70013315
SG,SINGAPORE,1755750,82360204,1755750,82360204
CH,SWITZERLAND,480,310958,480,310958
TW,"TAIWAN, PROVINCE OF CHINA",24000,1508774,24000,1508774
AE,UNITED ARAB EMIRATES,321750,13419933,321750,13419933
US,UNITED STATES,351627,16485311,351627,16485311
VN,VIETNAM,11000,650030,11000,650030
SUM,SUM,11129400,541488267,11129400,541488267
