"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
AT,AUSTRIA,11000,948554,11000,948554
BE,BELGIUM,36840,2153510,36840,2153510
BR,BRAZIL,37,83155,37,83155
CN,CHINA,758275,44747793,758275,44747793
DE,GERMANY,1250,176029,1250,176029
IN,INDIA,592400,20625851,592400,20625851
ID,INDONESIA,25,8933,25,8933
IT,ITALY,84,36641,84,36641
JP,JAPAN,165579,11486781,165579,11486781
KR,"KOREA,REPUBLIC OF",2946303,115358457,2946303,115358457
MY,MALAYSIA,34465,1516849,34465,1516849
OM,OMAN,506000,16242944,506000,16242944
SA,SAUDI ARABIA,6497000,225389589,6497000,225389589
SG,SINGAPORE,569126,33699107,569126,33699107
ZA,SOUTH AFRICA,24750,916018,24750,916018
TW,"TAIWAN, PROVINCE OF CHINA",330627,12008859,330627,12008859
TH,THAILAND,10,1147,10,1147
AE,UNITED ARAB EMIRATES,1113950,36812492,1113950,36812492
GB,UNITED KINGDOM,1350,124365,1350,124365
US,UNITED STATES,3675,881645,3675,881645
VN,VIETNAM,1863700,65910626,1863700,65910626
SUM,SUM,15456446,589129345,15456446,589129345
