"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
AU,AUSTRALIA,101000,6101661,101000,6101661
AT,AUSTRIA,300,498524,300,498524
CN,CHINA,213880,13460079,213880,13460079
EC,ECUADOR,2,2012,2,2012
FR,FRANCE,80660,8519212,80660,8519212
DE,GERMANY,35286,6386900,35286,6386900
IN,INDIA,16650,1355348,16650,1355348
ID,INDONESIA,22500,2301113,22500,2301113
IT,ITALY,550,47230,550,47230
JP,JAPAN,161728,36316367,161728,36316367
KR,"KOREA,REPUBLIC OF",162240,12683615,162240,12683615
MY,MALAYSIA,159000,14601195,159000,14601195
NL,NETHERLANDS,222080,25978573,222080,25978573
SA,SAUDI ARABIA,420750,21125016,420750,21125016
SG,SINGAPORE,72600,8640661,72600,8640661
ES,SPAIN,200,43361,200,43361
TW,"TAIWAN, PROVINCE OF CHINA",37404,2893087,37404,2893087
TR,TÜRKIYE,250,108745,250,108745
AE,UNITED ARAB EMIRATES,2000,150654,2000,150654
US,UNITED STATES,48522,7736283,48522,7736283
SUM,SUM,1757602,168949636,1757602,168949636
