"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1006970,32370715
AT,AUSTRIA,572,287644,2885,1046627
BE,BELGIUM,0,0,1375,112675
CN,CHINA,341010,18736139,3384338,197162623
CO,COLOMBIA,0,0,17677,217697
DK,DENMARK,0,0,30,9523
FI,FINLAND,0,0,116875,5713275
FR,FRANCE,0,0,3470,384402
DE,GERMANY,3575,189045,26735,2698167
HK,HONG KONG,0,0,1008,246528
IN,INDIA,109150,6185168,519243,15483732
ID,INDONESIA,13785,1258707,289285,19452572
IL,ISRAEL,0,0,20,712
IT,ITALY,0,0,5053,360618
JP,JAPAN,346641,28082188,3844124,279044254
KR,"KOREA,REPUBLIC OF",1305050,49616761,8538598,349443699
MY,MALAYSIA,30025,4486845,1017435,60377166
MX,MEXICO,0,0,25,96070
NL,NETHERLANDS,49500,3988281,308282,25634553
NZ,NEW ZEALAND,0,0,912,478008
OM,OMAN,22000,550627,839375,24406451
PH,PHILIPPINES,12,2882,12,2882
PL,POLAND,138080,1860887,182397,2602254
SA,SAUDI ARABIA,965750,27336526,8850525,264202254
SG,SINGAPORE,407366,20284790,3213877,170625130
CH,SWITZERLAND,0,0,100,28173
TW,"TAIWAN, PROVINCE OF CHINA",312444,11562011,1564311,64468745
TH,THAILAND,0,0,104500,2574912
AE,UNITED ARAB EMIRATES,668844,18249703,6089119,177068416
GB,UNITED KINGDOM,25,9057,7075,1255116
US,UNITED STATES,2700,274845,40832,3133943
VN,VIETNAM,102625,3324578,206257,9503780
SUM,SUM,4819154,196286684,40182720,1710205672
