"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'CIF (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,596944
BE,BELGIUM,64070,4824398,273975,19740745
BR,BRAZIL,25000,1229179,150000,7379933
CN,CHINA,935107,55119656,2493441,157274768
FI,FINLAND,23375,2387970,46175,4804171
FR,FRANCE,0,0,27000,2019183
DE,GERMANY,45000,3376193,112501,8457633
IN,INDIA,0,0,2225,345465
ID,INDONESIA,14502,1202953,84602,7771109
IL,ISRAEL,0,0,48000,4582951
JP,JAPAN,303432,21759025,871818,58466923
KR,"KOREA,REPUBLIC OF",1481450,69089150,4282050,202423893
MY,MALAYSIA,39962,4126767,157974,14648335
MM,MYANMAR,0,0,400,23623
OM,OMAN,198000,7486163,396000,16306461
SA,SAUDI ARABIA,3628328,152443533,7529067,323358324
SG,SINGAPORE,881976,52879110,2648088,149174381
ZA,SOUTH AFRICA,0,0,49500,2330363
TW,"TAIWAN, PROVINCE OF CHINA",373860,18311695,1143430,58113812
TH,THAILAND,600,29049,600,29049
AE,UNITED ARAB EMIRATES,247500,10818320,372625,16201492
US,UNITED STATES,9495,1198660,329323,17605029
VN,VIETNAM,0,0,7050,644926
SUM,SUM,8271657,406281821,21031344,1072299513
