"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
BR,BRAZIL,0,0,275,35400
CN,CHINA,0,0,60178,997266
DE,GERMANY,0,116,6520,12867860
IN,INDIA,52000,1742780,52049,1755932
JP,JAPAN,73500,2939648,579211,14540716
KR,"KOREA,REPUBLIC OF",14000,517000,70000,2548181
MY,MALAYSIA,0,0,1400,549489
NL,NETHERLANDS,0,0,3,2064
NO,NORWAY,54,21430,54,21430
PH,PHILIPPINES,0,0,13,2530
SA,SAUDI ARABIA,198000,6657645,1435500,50103881
CH,SWITZERLAND,1,784,1,784
TW,"TAIWAN, PROVINCE OF CHINA",0,0,86,19648
UA,UKRAINE,0,0,5,1974
GB,UNITED KINGDOM,0,0,2,1043
US,UNITED STATES,18000,1340600,72005,5486887
SUM,SUM,355555,13220003,2277302,88935085
