"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
AT,AUSTRIA,27500,1719087,27500,1719087
BE,BELGIUM,49450,2711315,49450,2711315
BR,BRAZIL,25,15585,25,15585
CN,CHINA,44176,4282895,44176,4282895
EG,EGYPT,100,6644,100,6644
FI,FINLAND,19250,1205179,19250,1205179
DE,GERMANY,93156,7195830,93156,7195830
IN,INDIA,1,165,1,165
IT,ITALY,12830,456310,12830,456310
JP,JAPAN,440425,32372323,440425,32372323
KR,"KOREA,REPUBLIC OF",246102,16023051,246102,16023051
KW,KUWAIT,297000,14200531,297000,14200531
MY,MALAYSIA,1930803,91086735,1930803,91086735
NL,NETHERLANDS,256990,15583056,256990,15583056
QA,QATAR,382500,17772650,382500,17772650
SA,SAUDI ARABIA,1868400,86196969,1868400,86196969
SG,SINGAPORE,2083750,108117269,2083750,108117269
ES,SPAIN,102000,9568488,102000,9568488
CH,SWITZERLAND,440,157978,440,157978
TW,"TAIWAN, PROVINCE OF CHINA",22025,1113333,22025,1113333
AE,UNITED ARAB EMIRATES,222750,8400139,222750,8400139
GB,UNITED KINGDOM,3,10860,3,10860
US,UNITED STATES,202258,14819367,202258,14819367
VN,VIETNAM,15525,1377110,15525,1377110
SUM,SUM,8317459,434392869,8317459,434392869
