"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'CIF (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1264345,51240987
AT,AUSTRIA,0,0,3100,315424
BE,BELGIUM,80375,5189474,1598425,91476348
CN,CHINA,330045,24647927,2431726,163529036
CZ,CZECH REPUBLIC,0,0,1,887
FI,FINLAND,0,0,212600,13001389
DE,GERMANY,2500,193701,52436,3542357
IN,INDIA,1000,109983,36532,2348898
ID,INDONESIA,0,0,6010,536202
IL,ISRAEL,12000,823391,92000,6314351
IT,ITALY,0,0,47,20257
JP,JAPAN,675048,38021732,5174394,312310822
KR,"KOREA,REPUBLIC OF",696300,34035655,6432350,308231902
MY,MALAYSIA,194772,13913511,1031500,113871471
MX,MEXICO,0,0,9520,830732
NL,NETHERLANDS,0,0,9760,102880
SA,SAUDI ARABIA,464550,19398360,3852810,159250675
SG,SINGAPORE,248800,14559703,2410150,130711634
ZA,SOUTH AFRICA,0,0,24760,1066478
CH,SWITZERLAND,0,0,25,45998
TW,"TAIWAN, PROVINCE OF CHINA",28010,2445416,475445,24521090
TH,THAILAND,0,0,50,8542
AE,UNITED ARAB EMIRATES,24750,1121491,28425,1299446
US,UNITED STATES,31116,2739239,306780,26869982
SUM,SUM,2789266,157199583,25453191,1411447788
