"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
AT,AUSTRIA,0,0,828,380985
BE,BELGIUM,0,0,200375,10381552
CA,CANADA,363,153327,793,349613
CN,CHINA,1968944,100568503,11836486,579676112
CZ,CZECH REPUBLIC,0,0,1700,512944
FR,FRANCE,0,0,3110,252176
DE,GERMANY,10,5445,40322,9381507
HK,HONG KONG,13,12558,227,48445
IN,INDIA,42525,1176024,273593,7479611
ID,INDONESIA,50600,4630526,218770,21017011
IT,ITALY,25,12876,52850,2934680
JP,JAPAN,961497,67870024,5037618,358874928
KR,"KOREA,REPUBLIC OF",1847300,92675601,12306336,575105094
MY,MALAYSIA,88527,6783165,425580,37858073
NL,NETHERLANDS,99000,8730776,595100,52003783
NZ,NEW ZEALAND,0,0,2135,2180533
PH,PHILIPPINES,0,0,304000,12428224
RU,RUSSIAN FEDERATION,0,0,150,29266
SA,SAUDI ARABIA,1369219,49293238,15118479,597189461
SG,SINGAPORE,971576,51491892,6266951,324664033
SK,SLOVAKIA,0,0,9700,625647
ZA,SOUTH AFRICA,0,0,74250,2856615
ES,SPAIN,52250,3817716,74250,5526129
TW,"TAIWAN, PROVINCE OF CHINA",270875,12034675,1595004,72055563
TH,THAILAND,36000,1782822,123550,6351142
AE,UNITED ARAB EMIRATES,24750,972316,401600,16155021
US,UNITED STATES,19145,1680559,112951,10445484
VN,VIETNAM,3851,496664,30311,4071142
SUM,SUM,7806470,404188707,55107019,2710834774
