"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
AT,AUSTRIA,8375,980265,14375,1557851
BE,BELGIUM,119500,12430048,395375,39531287
CA,CANADA,2250,715284,34155,5150948
CN,CHINA,1124898,52615553,6503491,275749293
CR,COSTA RICA,0,0,7,6406
DK,DENMARK,0,0,50,160219
FI,FINLAND,24750,1595192,57750,3611257
FR,FRANCE,5,5314,10,9853
DE,GERMANY,2752,309368,162221,8702328
HK,HONG KONG,0,0,46755,1483013
IN,INDIA,2000,438275,6536,1465251
ID,INDONESIA,0,0,1500,108466
IL,ISRAEL,40000,3281718,78005,5578417
IT,ITALY,0,0,5250,1715580
JP,JAPAN,349955,43754142,1957911,221770411
KR,"KOREA,REPUBLIC OF",217325,14900326,4187651,230436616
MY,MALAYSIA,24830,1271532,54790,3516849
NL,NETHERLANDS,12225,2134517,36525,5714855
OM,OMAN,49500,1016183,49500,1016183
QA,QATAR,0,0,25500,886568
SA,SAUDI ARABIA,0,0,117450,5297209
SG,SINGAPORE,877540,44382779,4097825,186843465
ES,SPAIN,0,0,58450,4666941
SE,SWEDEN,0,0,200000,13883812
TW,"TAIWAN, PROVINCE OF CHINA",2001,209712,63798,4697674
TH,THAILAND,0,0,18150,1505307
AE,UNITED ARAB EMIRATES,136507,6216206,643257,28375456
GB,UNITED KINGDOM,720,368029,70035,6660043
US,UNITED STATES,932622,81021779,7234369,456366854
VN,VIETNAM,53328,3241785,213445,11754938
SUM,SUM,3981083,270888007,26334136,1528223350
