"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,1737
CN,CHINA,25900,1418435,28500,1624963
DE,GERMANY,24750,1594471,24750,1594471
JP,JAPAN,3100,413757,30191,3218263
KR,"KOREA,REPUBLIC OF",36000,1760757,36000,1760757
NL,NETHERLANDS,0,0,49500,3235062
QA,QATAR,51000,2310769,76500,3377359
SG,SINGAPORE,58,53320,58,53320
TH,THAILAND,2250,359978,2250,359978
US,UNITED STATES,0,0,9072,2622705
SUM,SUM,143058,7911487,256828,17848615
