"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
CN,CHINA,12800,1309399,70225,6244459
IT,ITALY,0,0,200,20166
JP,JAPAN,114000,8398210,579550,44290582
KR,"KOREA,REPUBLIC OF",0,0,1524400,87844936
MY,MALAYSIA,0,0,10000,593208
SE,SWEDEN,20000,1466597,20000,1466597
AE,UNITED ARAB EMIRATES,168000,8664294,1629500,83202342
US,UNITED STATES,579738,27340975,2434992,126454470
VN,VIETNAM,27400,1522990,229400,13092019
SUM,SUM,921938,48702465,6498267,363208779
