"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
CN,CHINA,37006,3165114,230303,14764071
FR,FRANCE,0,0,4,2903
IN,INDIA,0,0,54,14688
ID,INDONESIA,0,0,79,36498
IT,ITALY,0,0,12402,2340083
JP,JAPAN,0,0,42,12640
KR,"KOREA,REPUBLIC OF",0,0,26000,2897236
TW,"TAIWAN, PROVINCE OF CHINA",2,448,107,32388
US,UNITED STATES,0,0,220,34217
VN,VIETNAM,0,0,12,214
SUM,SUM,37008,3165562,269223,20134938
