"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,14375,1557851
BE,BELGIUM,0,0,395375,39531287
CA,CANADA,2750,1002494,36905,6153442
CN,CHINA,807190,40462126,7310681,316211419
CR,COSTA RICA,0,0,7,6406
DK,DENMARK,0,0,50,160219
SV,EL SALVADOR,11,9309,11,9309
FI,FINLAND,0,0,57750,3611257
FR,FRANCE,0,0,10,9853
DE,GERMANY,44760,4767270,206981,13469598
HK,HONG KONG,0,0,46755,1483013
IN,INDIA,0,0,6536,1465251
ID,INDONESIA,307,33187,1807,141653
IL,ISRAEL,0,0,78005,5578417
IT,ITALY,1000,386124,6250,2101704
JP,JAPAN,334670,37961392,2292581,259731803
KR,"KOREA,REPUBLIC OF",753050,51193525,4940701,281630141
MY,MALAYSIA,500,41428,55290,3558277
NL,NETHERLANDS,2900,659396,39425,6374251
OM,OMAN,0,0,49500,1016183
QA,QATAR,76500,3510198,102000,4396766
SA,SAUDI ARABIA,98250,4113468,215700,9410677
SG,SINGAPORE,948985,48806741,5046810,235650206
ES,SPAIN,400,84492,58850,4751433
SE,SWEDEN,0,0,200000,13883812
TW,"TAIWAN, PROVINCE OF CHINA",10976,1647295,74774,6344969
TH,THAILAND,8800,757183,26950,2262490
AE,UNITED ARAB EMIRATES,147006,10567113,790263,38942569
GB,UNITED KINGDOM,30300,2627304,100335,9287347
US,UNITED STATES,1070156,89065068,8304525,545431922
VN,VIETNAM,34388,2130908,247833,13885846
SUM,SUM,4372899,299826021,30707035,1828049371
