"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,100,28405
BE,BELGIUM,24300,1213940,60050,3461791
CA,CANADA,0,0,12000,638477
CN,CHINA,15883,1006858,50271,2385847
DE,GERMANY,22500,1977213,43500,3867772
HK,HONG KONG,4,1038,244,24657
ID,INDONESIA,10,2234,10,2234
JP,JAPAN,85767,6703394,142625,11977434
KR,"KOREA,REPUBLIC OF",117200,5710520,426450,20434799
MY,MALAYSIA,151100,7160819,370700,15148853
MX,MEXICO,965,117765,1973,266895
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,0,0,17600,769678
CH,SWITZERLAND,10000,1115660,10000,1115660
TW,"TAIWAN, PROVINCE OF CHINA",41440,2627120,172740,10029117
GB,UNITED KINGDOM,100,34771,100,34771
US,UNITED STATES,20588,2361344,42830,4312664
VN,VIETNAM,31460,1011671,59240,1630268
SUM,SUM,521317,31044347,1410434,76130809
