"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'CIF (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'CIF (Baht)')"
BE,BELGIUM,0,0,7800,550188
CN,CHINA,300,25737,33823,2584848
FR,FRANCE,0,0,25,25328
KR,"KOREA,REPUBLIC OF",192400,16653283,1161400,87179294
MY,MALAYSIA,0,0,13750,1671746
SG,SINGAPORE,2000,2212732,3780,3783481
GB,UNITED KINGDOM,0,0,37150,2809940
US,UNITED STATES,0,0,12701,1520103
VN,VIETNAM,0,0,3360,313488
SUM,SUM,194700,18891752,1273789,100438416
