"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,44000,940506
AT,AUSTRIA,0,0,60,48445
BE,BELGIUM,99845,3410126,230145,7899597
BR,BRAZIL,37175,2896976,52875,4240308
CN,CHINA,25000,1504109,105800,5259198
FR,FRANCE,22000,1119845,22000,1119845
DE,GERMANY,38975,5595228,54675,10639197
IN,INDIA,0,0,500,63078
ID,INDONESIA,2008,152674,2008,152674
IL,ISRAEL,300,44497,450,83962
IT,ITALY,487670,23598340,846480,40226099
JP,JAPAN,1144358,58283365,2521909,119299812
KR,"KOREA,REPUBLIC OF",459000,13878507,935680,27637195
KW,KUWAIT,371250,9325125,1188000,30206146
MY,MALAYSIA,176000,4553456,314025,8462924
NL,NETHERLANDS,11000,970190,11000,970190
PT,PORTUGAL,50,17307,50,17307
QA,QATAR,1275720,33380575,3430140,92822790
SA,SAUDI ARABIA,1330500,33533017,2541875,63790539
SG,SINGAPORE,1462500,40814088,2587920,71578528
TW,"TAIWAN, PROVINCE OF CHINA",448000,18835414,623250,25909937
AE,UNITED ARAB EMIRATES,1356743,35150243,3228918,83452349
US,UNITED STATES,2207184,69786347,6886925,196270314
SUM,SUM,10955278,356849429,25628685,791090940
