"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'CIF (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'CIF (Baht)')"
AU,AUSTRALIA,24340,1927583,48523,3935733
BE,BELGIUM,103526,4927420,326876,17876525
CN,CHINA,878231,53638280,2320765,143169185
FI,FINLAND,23375,1489946,52250,3508948
FR,FRANCE,162,44107,119412,6487759
DE,GERMANY,18940,5653579,29169,8531566
IN,INDIA,15200,446549,15675,503806
ID,INDONESIA,18701,2301329,54219,6723416
IT,ITALY,683,335356,114145,9021339
JP,JAPAN,1382050,91740296,4056845,275217771
KP,KOREA DPR,0,0,78200,4231464
KR,"KOREA,REPUBLIC OF",2117925,104349165,5004973,272111253
KW,KUWAIT,0,0,24750,1122962
MY,MALAYSIA,72442,10901452,241685,31554698
MA,MOROCCO,0,0,130,70395
NL,NETHERLANDS,79000,6395123,188400,12906951
PH,PHILIPPINES,0,0,5,1191
SA,SAUDI ARABIA,3924410,133939871,10013970,368869858
SG,SINGAPORE,1133601,63583896,4357621,238571473
SK,SLOVAKIA,0,0,5250,365550
ES,SPAIN,0,0,49500,2223686
CH,SWITZERLAND,0,0,2,740
TW,"TAIWAN, PROVINCE OF CHINA",509209,17148371,909849,33062795
TH,THAILAND,175000,8844279,220380,10373397
AE,UNITED ARAB EMIRATES,371250,12932089,794075,28232608
GB,UNITED KINGDOM,19580,2439660,19580,2439660
US,UNITED STATES,66703,7974160,1026034,56813976
VN,VIETNAM,10234,888181,26862,2751407
SUM,SUM,10944562,531900692,30099145,1540680112
