"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
BE,BELGIUM,63000,4890457,161340,13926539
CA,CANADA,0,0,27540,4849289
CN,CHINA,41150,5884439,404300,59728676
FR,FRANCE,5280,1719094,496275,41045715
DE,GERMANY,1350,294554,26433,4451939
HK,HONG KONG,2200,209743,6000,584218
IN,INDIA,0,0,9,1906
ID,INDONESIA,0,0,67256,7328368
IT,ITALY,11000,935234,404250,31045285
JP,JAPAN,983313,78216592,10240048,770470676
KR,"KOREA,REPUBLIC OF",331775,18966565,3024412,179700801
MY,MALAYSIA,88500,4597121,419060,22447847
NL,NETHERLANDS,75050,6273016,697925,53370591
NZ,NEW ZEALAND,0,0,1128,302599
SA,SAUDI ARABIA,445500,23023957,1719475,89961693
SG,SINGAPORE,4193750,237223675,36438104,2051182825
ZA,SOUTH AFRICA,0,0,99000,5005968
ES,SPAIN,0,0,5500,681090
TW,"TAIWAN, PROVINCE OF CHINA",179081,10428120,1131611,68710273
TH,THAILAND,5,3179,11005,709472
UA,UKRAINE,0,4000,0,4000
AE,UNITED ARAB EMIRATES,99100,5120055,1100100,56795388
GB,UNITED KINGDOM,6000,632412,14000,1470553
US,UNITED STATES,165977,10582661,390624,29123761
VN,VIETNAM,0,0,58300,21427364
SUM,SUM,6692031,409004874,56943695,3514326836
