"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'CIF (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'CIF (Baht)')"
AT,AUSTRIA,5500,476887,5500,476887
CN,CHINA,25100,2571560,82100,7973619
HK,HONG KONG,0,0,590,28372
JP,JAPAN,134000,9235841,453200,31499098
KR,"KOREA,REPUBLIC OF",57100,3430830,114100,7003184
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,1102049
AE,UNITED ARAB EMIRATES,0,0,91000,4551234
US,UNITED STATES,12700,1136624,252848,17362059
VN,VIETNAM,50625,3300556,184575,12302723
SUM,SUM,285025,20152298,1194913,82299225
