"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'CIF (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'CIF (Baht)')"
BE,BELGIUM,49750,2633621,49950,2825672
CN,CHINA,88500,6868887,221000,17274804
ID,INDONESIA,35265,3283714,101525,9448527
IL,ISRAEL,0,0,5980,479291
JP,JAPAN,571470,29305422,1722884,94299261
KR,"KOREA,REPUBLIC OF",0,0,61800,3186979
KW,KUWAIT,173250,6574031,495000,19244655
MY,MALAYSIA,947580,38731598,1057809,43626332
NL,NETHERLANDS,104750,4786724,283750,13283051
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,204000,7613054,1122100,42723089
SA,SAUDI ARABIA,3578500,140435377,7811881,313986539
SG,SINGAPORE,400484,17028246,955484,40870207
AE,UNITED ARAB EMIRATES,1014800,40487349,2376200,95696971
GB,UNITED KINGDOM,0,0,5,2851
US,UNITED STATES,217918,12720327,474997,29100866
SUM,SUM,7386267,310468350,16757365,726778339
