"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
CN,CHINA,0,0,35,12251
HK,HONG KONG,0,0,200,107965
ID,INDONESIA,0,0,100,39263
JP,JAPAN,147100,6973336,825545,34524623
KR,"KOREA,REPUBLIC OF",53,15375,110053,3401818
MY,MALAYSIA,0,0,50,9969
SA,SAUDI ARABIA,99000,4311221,866250,30227668
TW,"TAIWAN, PROVINCE OF CHINA",18000,1544967,90000,7219740
US,UNITED STATES,0,0,225001,9352196
SUM,SUM,264153,12844899,2117234,84895493
