"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'CIF (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'CIF (Baht)')"
AT,AUSTRIA,32500,1699030,37800,2234979
BE,BELGIUM,42770,2591144,264715,16421975
CA,CANADA,0,0,16000,2831186
CN,CHINA,29500,4178265,186607,30083787
CZ,CZECH REPUBLIC,0,0,100,57006
FI,FINLAND,0,0,25,12740
FR,FRANCE,148425,8311650,419187,22293383
DE,GERMANY,753,557273,23863,3471678
HK,HONG KONG,1000,140052,10000,998825
IN,INDIA,0,0,36000,2086935
ID,INDONESIA,12500,1107331,59500,6449384
IT,ITALY,0,0,50,22704
JP,JAPAN,1260992,79145313,6993287,457222832
KR,"KOREA,REPUBLIC OF",445600,23042241,2245531,110901343
MY,MALAYSIA,48025,2503864,324225,15460106
NL,NETHERLANDS,171875,10083132,939500,59736889
SA,SAUDI ARABIA,74250,3544639,1460250,62003032
SG,SINGAPORE,5009630,259221330,30549485,1506753218
ZA,SOUTH AFRICA,123750,5699715,222750,9790378
ES,SPAIN,1400,238363,1550,306340
TW,"TAIWAN, PROVINCE OF CHINA",93050,4643640,1177120,56565956
TH,THAILAND,0,0,23800,1385914
AE,UNITED ARAB EMIRATES,272700,13245375,1396375,59012566
GB,UNITED KINGDOM,8000,814677,24000,2362968
US,UNITED STATES,242571,13811585,598080,50650722
VN,VIETNAM,0,0,22000,1213733
SUM,SUM,8019291,434578619,47031800,2480330579
