"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,616,55903
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,133940,7513971,565250,26381921
BR,BRAZIL,403000,33094093,1568750,122884116
CA,CANADA,11000,615971,27080,1470949
CN,CHINA,30412,2026323,239308,15245156
FR,FRANCE,11000,561666,88000,3696412
DE,GERMANY,31100,7047853,642535,64376743
ID,INDONESIA,0,0,53100,2245913
IT,ITALY,290505,14976530,914425,42589676
JP,JAPAN,1079475,50997479,5607424,261373189
KR,"KOREA,REPUBLIC OF",1036000,42147998,4525851,166927131
KW,KUWAIT,173250,6800966,1163250,38412316
MY,MALAYSIA,655000,27328152,2050150,73005910
NL,NETHERLANDS,0,0,975,216248
OM,OMAN,24750,894864,24750,894864
PH,PHILIPPINES,0,0,2,1781
PT,PORTUGAL,0,0,225,11427
QA,QATAR,1503740,61702317,6774580,237981954
SA,SAUDI ARABIA,841500,33852946,5950544,202536456
SG,SINGAPORE,1489890,62721444,9086420,345091870
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",280000,13831128,838800,38372316
TH,THAILAND,2,2095,2,2095
AE,UNITED ARAB EMIRATES,173350,7685171,4254025,149268184
US,UNITED STATES,1317151,61790165,8681438,344460296
VN,VIETNAM,0,0,50,7453
SUM,SUM,9485065,435591132,53068590,2138058306
