"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
AT,AUSTRIA,24812,2546288,24812,2546288
CN,CHINA,1473432,78741428,1473432,78741428
DE,GERMANY,4125,671333,4125,671333
IN,INDIA,494000,22589698,494000,22589698
ID,INDONESIA,40000,3409230,40000,3409230
IT,ITALY,1000,112124,1000,112124
JP,JAPAN,531866,38163070,531866,38163070
KR,"KOREA,REPUBLIC OF",1113925,59480611,1113925,59480611
MY,MALAYSIA,174850,12831493,174850,12831493
NL,NETHERLANDS,49500,4710841,49500,4710841
NZ,NEW ZEALAND,3000,230118,3000,230118
OM,OMAN,247500,10624452,247500,10624452
SA,SAUDI ARABIA,1531560,67857049,1531560,67857049
SG,SINGAPORE,558858,28045901,558858,28045901
TW,"TAIWAN, PROVINCE OF CHINA",81729,8365900,81729,8365900
AE,UNITED ARAB EMIRATES,742500,32623971,742500,32623971
GB,UNITED KINGDOM,25,20119,25,20119
US,UNITED STATES,8855,2511676,8855,2511676
VN,VIETNAM,318897,7637727,318897,7637727
SUM,SUM,7400434,381173029,7400434,381173029
