"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
CN,CHINA,0,0,374,42209
FR,FRANCE,0,0,2000,231900
DE,GERMANY,0,0,4440,526304
HK,HONG KONG,0,0,1525,152812
IE,IRELAND,0,0,0,5000
JP,JAPAN,1,2000,6776,1424578
KR,"KOREA,REPUBLIC OF",0,0,70,45069
RO,ROMANIA,0,0,3000,338401
SA,SAUDI ARABIA,0,0,74250,3189524
SG,SINGAPORE,0,0,130750,6592194
AE,UNITED ARAB EMIRATES,0,0,52000,2539708
US,UNITED STATES,0,0,169500,7932912
SUM,SUM,1,2000,444685,23020611
