"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
AU,AUSTRALIA,30,30769,593050,22598081
AT,AUSTRIA,1725,213524,3100,315424
BE,BELGIUM,162000,9163343,973125,53947698
CN,CHINA,188310,13406571,1457333,95970120
CZ,CZECH REPUBLIC,0,0,1,887
FI,FINLAND,22700,1327827,166075,10115121
DE,GERMANY,60,46820,41320,1731153
IN,INDIA,200,51001,6220,700417
ID,INDONESIA,10,3263,3010,253549
IL,ISRAEL,0,0,56000,3807315
IT,ITALY,0,0,47,20257
JP,JAPAN,510001,31944141,2997827,178248289
KR,"KOREA,REPUBLIC OF",518600,25547573,3657275,170894854
MY,MALAYSIA,79857,10755715,538479,67175121
MX,MEXICO,5440,483645,9520,830732
NL,NETHERLANDS,100,7870,100,7870
SA,SAUDI ARABIA,247500,10614134,2030750,82540855
SG,SINGAPORE,430700,21633666,1329110,69761647
ZA,SOUTH AFRICA,24750,1061875,24760,1066478
TW,"TAIWAN, PROVINCE OF CHINA",25125,1305039,292325,14279657
TH,THAILAND,0,0,50,8542
AE,UNITED ARAB EMIRATES,0,0,3175,153271
US,UNITED STATES,42829,4015775,175327,15250526
SUM,SUM,2259937,131612551,14357979,789677864
