"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,10395,755405
BE,BELGIUM,105840,5479140,283166,13014806
BR,BRAZIL,0,0,49500,1660797
CN,CHINA,407398,27453979,1835737,121848371
FI,FINLAND,23375,1814523,116875,6844015
DE,GERMANY,70250,4126959,87755,5472359
HK,HONG KONG,0,0,10,2880
HU,HUNGARY,0,0,2750,198459
IN,INDIA,0,0,4000,405325
ID,INDONESIA,24005,2054844,72042,5813149
IL,ISRAEL,24000,1826710,72020,4883433
JP,JAPAN,213051,12800248,2065018,123743050
KR,"KOREA,REPUBLIC OF",1360500,61596661,6483465,273785840
MY,MALAYSIA,60960,4960798,360105,25975138
OM,OMAN,99000,4466538,693000,24199619
SA,SAUDI ARABIA,1709000,77111034,10822500,421547440
SG,SINGAPORE,815266,40680438,3775113,174738544
ZA,SOUTH AFRICA,0,0,27009,1408670
ES,SPAIN,0,0,37525,3088528
TW,"TAIWAN, PROVINCE OF CHINA",198100,10434040,571725,30133294
TH,THAILAND,0,0,403650,17747949
AE,UNITED ARAB EMIRATES,24750,1306424,446000,19272141
GB,UNITED KINGDOM,0,0,100,25407
US,UNITED STATES,398861,15997747,608574,27694521
VN,VIETNAM,0,0,181550,7749783
SUM,SUM,5534356,272110083,29009584,1312008923
