"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
AU,AUSTRALIA,11871,1028165,11871,1028165
BE,BELGIUM,148500,8908927,148500,8908927
CN,CHINA,598801,41649651,598801,41649651
FI,FINLAND,28875,2019002,28875,2019002
FR,FRANCE,69750,3441264,69750,3441264
DE,GERMANY,9125,2734810,9125,2734810
IN,INDIA,475,57257,475,57257
ID,INDONESIA,16250,1838620,16250,1838620
IT,ITALY,86312,7081218,86312,7081218
JP,JAPAN,1602933,109997222,1602933,109997222
KP,KOREA DPR,43200,2498487,43200,2498487
KR,"KOREA,REPUBLIC OF",1628721,98933777,1628721,98933777
MY,MALAYSIA,113220,11799104,113220,11799104
MA,MOROCCO,130,70395,130,70395
NL,NETHERLANDS,99300,5411400,99300,5411400
PH,PHILIPPINES,5,1191,5,1191
SA,SAUDI ARABIA,2576200,107890338,2576200,107890338
SG,SINGAPORE,1704846,99443492,1704846,99443492
SK,SLOVAKIA,5250,365550,5250,365550
ES,SPAIN,49500,2223686,49500,2223686
TW,"TAIWAN, PROVINCE OF CHINA",69870,4612699,69870,4612699
TH,THAILAND,45380,1529118,45380,1529118
AE,UNITED ARAB EMIRATES,200075,7705224,200075,7705224
US,UNITED STATES,547203,28031408,547203,28031408
VN,VIETNAM,12345,1091530,12345,1091530
SUM,SUM,9668137,550363535,9668137,550363535
