"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
CN,CHINA,18000,1539420,213602,11726004
DE,GERMANY,0,0,12000,1234113
HK,HONG KONG,0,0,12736,613970
IT,ITALY,0,0,1375,396970
JP,JAPAN,50950,5773194,193629,22287942
KR,"KOREA,REPUBLIC OF",24000,1592288,57600,3779050
SG,SINGAPORE,0,0,83000,5589333
AE,UNITED ARAB EMIRATES,13000,607828,26000,1221467
US,UNITED STATES,0,0,85637,5446689
SUM,SUM,105950,9512730,685579,52295538
