"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,340,509789
BE,BELGIUM,8500,1169679,36300,2607160
BR,BRAZIL,1337,482601,3056,1110888
CN,CHINA,378139,19350502,618436,33565954
CZ,CZECH REPUBLIC,0,0,2,682
FR,FRANCE,30205,1612576,80385,4037455
DE,GERMANY,18920,4484935,20000,4910431
HK,HONG KONG,4822,1159306,214252,18082071
IT,ITALY,0,0,760,99220
JP,JAPAN,248500,42525493,426323,72888065
KR,"KOREA,REPUBLIC OF",393250,20760780,780350,39238842
MY,MALAYSIA,131240,8891223,171151,12043214
NL,NETHERLANDS,0,0,28668,2792592
SA,SAUDI ARABIA,98250,3843901,370500,13256006
SG,SINGAPORE,54160,6823624,81385,9883599
ZA,SOUTH AFRICA,0,0,0,185
TW,"TAIWAN, PROVINCE OF CHINA",2000,122457,2032,126065
AE,UNITED ARAB EMIRATES,891000,35867957,1361250,54389558
US,UNITED STATES,82849,12069462,196355,27778645
VN,VIETNAM,10100,723917,20150,1384517
SUM,SUM,2353272,159888413,4411695,298704938
