"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
CN,CHINA,0,0,165000,6542712
ID,INDONESIA,115250,7389497,124750,8174687
JP,JAPAN,75,6224,875,98689
KR,"KOREA,REPUBLIC OF",55400,2721541,77400,3585943
KW,KUWAIT,123750,4595280,247500,9301948
MY,MALAYSIA,999000,45056128,2515000,113245063
QA,QATAR,408000,15474226,663000,25092662
SA,SAUDI ARABIA,1723750,65955181,3283000,125123837
SG,SINGAPORE,144000,6841909,464000,21273334
AE,UNITED ARAB EMIRATES,765875,31606006,778875,32218945
US,UNITED STATES,233750,10083761,431750,18579099
SUM,SUM,4568850,189729753,8751150,363236919
