"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
BE,BELGIUM,36000,4056873,156000,16542793
CA,CANADA,0,0,12701,584044
CN,CHINA,10000,658615,73150,5306093
IT,ITALY,0,0,50,21948
JP,JAPAN,0,0,25225,2140876
KR,"KOREA,REPUBLIC OF",70000,4958400,187177,11292680
SG,SINGAPORE,909900,42555753,7305900,327873805
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18000,1377000
AE,UNITED ARAB EMIRATES,37700,1989352,421900,21355513
US,UNITED STATES,0,0,262238,17463162
SUM,SUM,1063600,54218993,8462341,403957914
