"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,72000,9906906
CN,CHINA,53200,4952665,174952,16216285
FI,FINLAND,0,0,176550,10699288
FR,FRANCE,0,0,2554,312095
DE,GERMANY,100,69531,20600,1996455
IT,ITALY,2750,1428277,2750,1428277
JP,JAPAN,0,0,16068,1845864
KR,"KOREA,REPUBLIC OF",0,0,741400,56197765
SG,SINGAPORE,0,0,2725,1195321
SE,SWEDEN,0,0,28000,4116718
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1,254
AE,UNITED ARAB EMIRATES,0,0,175400,11884110
GB,UNITED KINGDOM,0,0,20400,1909168
US,UNITED STATES,76973,8770489,671206,57516295
VN,VIETNAM,16100,1016928,171100,10618834
SUM,SUM,149123,16237890,2275706,185843635
