"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,132000,12671759
CN,CHINA,0,0,50,12560
FR,FRANCE,0,0,4125,229556
DE,GERMANY,0,0,371250,18888364
JP,JAPAN,1105,389273,11808,3450144
KR,"KOREA,REPUBLIC OF",268000,15040459,401000,22366962
MY,MALAYSIA,0,0,280450,10850577
SA,SAUDI ARABIA,0,0,124125,4978392
SG,SINGAPORE,1144000,47422815,9999053,408743842
SE,SWEDEN,0,0,1375,90457
TH,THAILAND,0,0,200,1265
AE,UNITED ARAB EMIRATES,24700,1173807,330850,15302958
GB,UNITED KINGDOM,0,0,6750,794789
US,UNITED STATES,245887,13851369,1358029,85674789
SUM,SUM,1683692,77877723,13021065,584056414
