"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
BD,BANGLADESH,0,0,37,6760
BE,BELGIUM,49500,4435462,488475,44916219
BR,BRAZIL,0,0,11050,1327433
CA,CANADA,0,0,34575,1493945
CN,CHINA,97035,2088034,1866877,79323700
DE,GERMANY,600,149334,10918,1565138
HK,HONG KONG,7,32099,49,39805
IN,INDIA,0,0,115,76058
ID,INDONESIA,20,1837,20,1837
IT,ITALY,0,0,84801,12163368
JP,JAPAN,438650,52899762,3544900,377976983
KR,"KOREA,REPUBLIC OF",1659900,196544296,9176636,1045671146
MY,MALAYSIA,27954,1406558,405494,24578888
NL,NETHERLANDS,0,0,73250,7513841
QA,QATAR,0,0,17000,961649
SA,SAUDI ARABIA,0,0,816750,83017992
ES,SPAIN,0,0,53,30228
SE,SWEDEN,0,0,46200,2525812
TW,"TAIWAN, PROVINCE OF CHINA",552000,60663735,9512050,1024568706
GB,UNITED KINGDOM,0,0,105500,15816341
US,UNITED STATES,84843,7724833,575675,54513945
VN,VIETNAM,26950,742575,244140,9569292
SUM,SUM,2937459,326688525,27014565,2787659086
