"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1065755
CN,CHINA,0,0,48361,3214097
DE,GERMANY,2750,202525,5510,380557
HK,HONG KONG,0,0,9,3351
IN,INDIA,0,0,3,610
ID,INDONESIA,0,0,20,726
IL,ISRAEL,22600,1970744,45000,3764276
IT,ITALY,19000,1391340,48373,3145105
JP,JAPAN,2250,258791,60410,6098361
KR,"KOREA,REPUBLIC OF",36100,2094208,316115,15403859
MY,MALAYSIA,0,0,25085,525982
NL,NETHERLANDS,0,0,48125,3460687
PL,POLAND,0,0,460,159295
QA,QATAR,0,0,357000,15170960
SA,SAUDI ARABIA,0,0,24750,1143453
ES,SPAIN,0,0,100,394
TW,"TAIWAN, PROVINCE OF CHINA",10000,1116027,12500,1508405
AE,UNITED ARAB EMIRATES,0,0,200,9401
GB,UNITED KINGDOM,0,0,50,39379
US,UNITED STATES,9072,2291644,45681,13130353
SUM,SUM,101772,9325279,1062502,68225006
