"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
AT,AUSTRIA,0,0,14527,1066198
BE,BELGIUM,44184,2232948,298329,17323883
BR,BRAZIL,0,0,150,169050
CA,CANADA,0,0,1320,301307
CN,CHINA,67960,6347138,910540,58660196
CZ,CZECH REPUBLIC,0,0,75,13720
DK,DENMARK,0,0,0,1128
FI,FINLAND,74225,4646983,850800,56186201
FR,FRANCE,0,0,50,17815
DE,GERMANY,107455,9677485,1365344,121573207
HK,HONG KONG,0,0,1500,901667
IN,INDIA,0,0,153500,7955455
ID,INDONESIA,2000,1061018,19926,7493730
IT,ITALY,0,0,49560,2693959
JP,JAPAN,252344,18923164,4362580,356907273
KR,"KOREA,REPUBLIC OF",328700,21506036,3638607,231605297
KW,KUWAIT,321750,16433024,4281750,218017362
LU,LUXEMBOURG,0,0,24,15449
MY,MALAYSIA,2320908,120475071,30603490,1670798142
NL,NETHERLANDS,256250,16888959,2910295,214096857
NZ,NEW ZEALAND,0,0,352050,9355266
QA,QATAR,459000,23665581,6043500,319840914
SA,SAUDI ARABIA,2731050,140205112,32055075,1679428711
SG,SINGAPORE,1715970,95766911,25213118,1438433175
ES,SPAIN,102000,10138174,1702000,188151289
SE,SWEDEN,0,0,41525,2809652
CH,SWITZERLAND,0,0,28835,6774317
TW,"TAIWAN, PROVINCE OF CHINA",750,139776,23502,2586867
TH,THAILAND,0,0,31975,1797896
AE,UNITED ARAB EMIRATES,25000,1326273,314900,16788898
GB,UNITED KINGDOM,0,46,65839,3505492
US,UNITED STATES,42006,6291762,2259537,168970655
VN,VIETNAM,4050,570383,38770,5348357
SUM,SUM,8855602,496295844,117632993,6809589385
