"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,12100,651910
BE,BELGIUM,123750,7452414,521000,26058930
BR,BRAZIL,16500,1435241,17875,2071054
CA,CANADA,408340,15123878,1104100,37755016
CN,CHINA,58453,2206406,274254,15545831
DE,GERMANY,0,0,208,81746
ID,INDONESIA,644025,26510284,3224925,113157489
IL,ISRAEL,12000,1111093,18040,1621603
JP,JAPAN,86880,8604679,360995,36137113
KR,"KOREA,REPUBLIC OF",22000,1027792,190000,7848466
KW,KUWAIT,346500,13726434,1113750,37536545
MY,MALAYSIA,20000,1036108,536620,18351659
OM,OMAN,0,0,200,4970
QA,QATAR,382500,13626067,1351500,47541218
SA,SAUDI ARABIA,3048750,124637873,16013620,546818626
SG,SINGAPORE,282500,13399846,1947525,77352813
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1200,2401436
AE,UNITED ARAB EMIRATES,1212750,54308440,5563775,207655693
US,UNITED STATES,374235,20475979,2359490,94189383
VN,VIETNAM,100,13508,155,22973
SUM,SUM,7039283,304696042,34611332,1272804474
