"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
BE,BELGIUM,0,0,6425,417164
CN,CHINA,4063,285548,33523,2559111
FR,FRANCE,0,0,25,25328
KR,"KOREA,REPUBLIC OF",69200,5458111,877400,60886684
MY,MALAYSIA,0,0,13750,1671746
SG,SINGAPORE,960,1051388,1780,1570749
GB,UNITED KINGDOM,37150,2809940,37150,2809940
US,UNITED STATES,0,0,12701,1520103
VN,VIETNAM,960,66703,3360,313488
SUM,SUM,112333,9671690,986114,71774313
