"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
AU,AUSTRALIA,70200,3237717,74200,3426477
AT,AUSTRIA,0,0,350,603003
BE,BELGIUM,1000,125638,15260,1665670
CN,CHINA,95400,3082127,168903,8496301
FR,FRANCE,3000,449610,6200,1009449
DE,GERMANY,3500,592404,3705,656002
HK,HONG KONG,0,0,0,6800
IN,INDIA,988,35832,5988,303402
ID,INDONESIA,22750,1438900,45264,3591913
IE,IRELAND,0,0,100,33009
IT,ITALY,2540,346885,3020,388219
JP,JAPAN,250996,39929170,467620,89496562
KR,"KOREA,REPUBLIC OF",310505,20903258,571055,38113640
MY,MALAYSIA,158560,13926720,320463,28933582
NL,NETHERLANDS,100028,10176968,220028,22509534
PG,PAPUA NEW GUINEA,32,16384,32,16384
SA,SAUDI ARABIA,544500,24299471,841500,37274777
SG,SINGAPORE,79475,8415219,215475,20346599
TW,"TAIWAN, PROVINCE OF CHINA",49000,3522762,81466,8047500
GB,UNITED KINGDOM,0,0,96164,10971059
US,UNITED STATES,34319,6513888,134438,20556151
VN,VIETNAM,38,20536,38,20536
SUM,SUM,1726831,137033489,3271269,296466569
