"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,3,1907
CA,CANADA,1000,279945,1020,293254
CN,CHINA,4440,348555,34150,2621923
FR,FRANCE,20260,1590168,156612,11109562
DE,GERMANY,175,29663,5433,937476
JP,JAPAN,15588,962309,748327,41463356
KR,"KOREA,REPUBLIC OF",184020,8347320,1858980,91773004
MY,MALAYSIA,2400,236394,2400,236394
NL,NETHERLANDS,0,0,11000,1187239
RU,RUSSIAN FEDERATION,0,0,23250,4434735
SG,SINGAPORE,0,0,1,387
US,UNITED STATES,2,1930,341,169062
SUM,SUM,227885,11796284,2841517,154228299
