"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
AU,AUSTRALIA,149250,6494348,150282,6639702
BE,BELGIUM,168395,10817878,276435,17205107
BR,BRAZIL,100,65485,100,65485
CN,CHINA,481370,35964337,1001685,73278357
FI,FINLAND,20625,1211409,44000,2630352
FR,FRANCE,74250,4071862,121000,6922874
DE,GERMANY,40250,4302807,60615,8311247
HK,HONG KONG,200,23994,1123,687684
IN,INDIA,13225,1549432,32325,3450917
ID,INDONESIA,34167,1888687,36267,2061100
IT,ITALY,5600,746480,8800,1168936
JP,JAPAN,661420,71119697,1721924,160118079
KR,"KOREA,REPUBLIC OF",1629794,89222575,3420646,188796012
KW,KUWAIT,0,0,24750,1105243
MY,MALAYSIA,208116,14024883,384680,26463217
NL,NETHERLANDS,148500,13154386,267500,23944365
NZ,NEW ZEALAND,2750,179616,2750,179616
PH,PHILIPPINES,306000,12879086,306000,12879086
QA,QATAR,0,0,16500,741262
SA,SAUDI ARABIA,5494500,229138604,11450500,483592037
SG,SINGAPORE,957951,51782856,1442858,79995332
ES,SPAIN,16500,1797141,27500,2995853
TW,"TAIWAN, PROVINCE OF CHINA",41015,2863543,55727,4775537
AE,UNITED ARAB EMIRATES,767250,31302243,1348977,56232423
US,UNITED STATES,801567,39291059,947984,49121651
VN,VIETNAM,165318,7028073,289347,12197116
SUM,SUM,12188113,630920481,23440275,1225558590
