"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
AU,AUSTRALIA,2000,50992,35000,1982838
AT,AUSTRIA,0,0,6875,428296
BE,BELGIUM,91070,4905224,1070515,58028840
BR,BRAZIL,24750,2326626,247300,23438439
KH,CAMBODIA,0,0,5,1814
CA,CANADA,0,0,19061,1985482
CN,CHINA,16600,1446593,267342,18466238
DK,DENMARK,0,0,39,20651
EC,ECUADOR,0,0,100,64449
FI,FINLAND,0,0,24750,1586951
DE,GERMANY,7930,3187866,51973,35197044
HK,HONG KONG,0,0,19250,650948
IN,INDIA,0,0,18025,1607254
ID,INDONESIA,175,76620,66390,3434521
IT,ITALY,4000,574053,150875,10749195
JP,JAPAN,1742267,81685479,14575867,718093020
KR,"KOREA,REPUBLIC OF",182755,8134759,1586515,70603685
KW,KUWAIT,470250,19019010,5172750,207983691
MY,MALAYSIA,1664825,72546802,4234353,185236797
NL,NETHERLANDS,0,0,24775,2208539
NO,NORWAY,20340,1207202,22380,1519285
PK,PAKISTAN,0,0,52,7678
PH,PHILIPPINES,825,40734,825,40734
QA,QATAR,1423500,59154857,7941340,328331911
SA,SAUDI ARABIA,2574000,103130754,29854300,1179542241
SG,SINGAPORE,1217670,51971141,22565275,990464357
SE,SWEDEN,0,0,6,3913
CH,SWITZERLAND,11000,789329,113580,7191488
TW,"TAIWAN, PROVINCE OF CHINA",66400,2862089,329730,13620574
TH,THAILAND,100,43894,140,59611
TR,TÜRKIYE,0,0,5200,485248
AE,UNITED ARAB EMIRATES,1806925,71478894,8749739,353038005
US,UNITED STATES,79338,4502857,1837077,92061401
VN,VIETNAM,0,0,800,39677
SUM,SUM,11406720,489135775,98992204,4308174815
