"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16048,728328
BE,BELGIUM,1069015,64695130,5810105,382946665
BR,BRAZIL,101750,11382703,3710825,375281182
BG,BULGARIA,0,0,560300,39005982
CA,CANADA,0,0,39109,3002350
CN,CHINA,365150,16656540,2394463,129758816
CZ,CZECH REPUBLIC,0,0,6,3350
FR,FRANCE,110580,8781045,1157960,88688462
DE,GERMANY,18128,6432920,504756,107349130
GH,GHANA,0,0,100,91758
IN,INDIA,0,0,37004,1886493
ID,INDONESIA,0,609,401150,22818385
IL,ISRAEL,0,0,10,6598
IT,ITALY,88594,9083373,2899464,215772344
JP,JAPAN,1150950,77619695,10069555,652410300
KR,"KOREA,REPUBLIC OF",1457129,59589506,18002864,803385258
KW,KUWAIT,123750,4917495,2153250,92964942
MY,MALAYSIA,662750,26487413,6034168,265776038
MX,MEXICO,0,0,175,61385
NL,NETHERLANDS,6,3996,19066,3095936
NO,NORWAY,0,0,120280,9363063
OM,OMAN,321750,12413226,3341250,140985619
PH,PHILIPPINES,0,0,100,6094
QA,QATAR,1781580,74764546,15429290,708112197
RU,RUSSIAN FEDERATION,0,0,643500,26554003
SA,SAUDI ARABIA,591100,23509366,10755599,472064054
SG,SINGAPORE,829918,36969515,12610203,592208698
ZA,SOUTH AFRICA,0,0,250,43352
TW,"TAIWAN, PROVINCE OF CHINA",114500,6505935,1996801,111855303
TH,THAILAND,0,0,59115,2953712
AE,UNITED ARAB EMIRATES,198475,9777447,3746025,194964285
GB,UNITED KINGDOM,0,0,131,83004
US,UNITED STATES,867910,49340320,10870901,649046279
VN,VIETNAM,75,10520,68199,2951623
SUM,SUM,9853110,498941300,113452022,6096224988
