"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,750,61598
AT,AUSTRIA,50620,3597188,151540,10910016
BE,BELGIUM,49500,2565515,544071,32313951
CA,CANADA,0,0,400500,17510955
CN,CHINA,245250,13566524,952431,47811649
DK,DENMARK,0,0,710,957130
FI,FINLAND,49500,2896799,420575,26040518
FR,FRANCE,0,0,2883,344535
DE,GERMANY,57830,6235245,545692,54196860
HK,HONG KONG,103500,4845777,103500,4845777
IN,INDIA,100,14008,1625,79913
ID,INDONESIA,100,25716,10681,4676483
IL,ISRAEL,0,0,9,4301
IT,ITALY,0,0,585,113040
JP,JAPAN,848099,54461018,3530279,259145445
KR,"KOREA,REPUBLIC OF",704455,37639017,2507560,132451398
KW,KUWAIT,594000,26551102,3316500,142704705
LU,LUXEMBOURG,28875,1854632,53625,3392056
MY,MALAYSIA,3565632,172323308,28316463,1277158356
NL,NETHERLANDS,151600,11030796,1175790,85920828
NZ,NEW ZEALAND,64100,1628683,176100,4252913
NO,NORWAY,0,0,148500,8974159
QA,QATAR,331500,15111462,5499150,233881400
SA,SAUDI ARABIA,2233350,104279792,18531787,828003784
SG,SINGAPORE,2090134,107313590,13639017,661922269
ES,SPAIN,165000,17057544,914250,86575975
SE,SWEDEN,0,0,300,27443
CH,SWITZERLAND,480,83209,5440,1236941
TW,"TAIWAN, PROVINCE OF CHINA",21700,1678506,81095,5459155
AE,UNITED ARAB EMIRATES,0,0,593900,25563481
GB,UNITED KINGDOM,0,0,2523,428223
US,UNITED STATES,274008,18288762,2238340,145324446
VN,VIETNAM,250,14888,38726,4378522
SUM,SUM,11629583,603063081,83904897,4106668225
